date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-07-16,32.4,24.28,23.4,14.4,32,,62,35.9,41.5,21,10.1,7.6,8.1,6.1,24,11.62,12,0,41,24,101.1,100.86,100.85,100.6,96.13,95.91,95.89,95.66,16100,15495.8,11250,6400,,,,,0,5.4,18.4,16.4,13.4,0,,,,05:07:00,21:01:00,15.9,5.12,21.02,10,10,31,31,15,15,,4,0.4,2,0,,,,,,,,
2021-07-15,31.6,25.7,24.95,18.3,33,,53,31.7,38,23,10.3,7.5,6.3,2.4,24,12.62,16,8,32,17,100.97,100.79,100.76,100.56,96.03,95.86,95.83,95.63,16100,13616.7,10450,4800,,,,,0,7,19.9,17.9,14.9,0,,,,05:06:00,21:02:00,15.93,5.1,21.03,10,11,32,32,16,17,,3,0.3,1.5,0,,,,,,,,
2021-07-14,36.3,26.42,24.95,13.6,35,,69,32.3,40.5,12,10.7,5.8,6.2,1.6,30,6.88,15,0,37,35,101.18,100.87,100.81,100.45,96.22,95.93,95.88,95.54,16100,14162.5,11250,6400,,,,,0,7,19.9,17.9,14.9,0,,,,05:05:00,21:02:00,15.95,5.08,21.03,9,10,34,35,15,16,,2,0.1,1,0,,,,,,,,
2021-07-13,35.7,24.52,23.8,11.9,34,,65,37.2,39,13,10.7,7.3,6.8,2.9,13,5.83,6.5,0,,,101.54,101.24,101.19,100.85,96.56,96.27,96.24,95.91,16100,12700,12900,9700,,,,,0,5.8,18.8,16.8,13.8,0,,,,05:04:00,21:03:00,15.98,5.07,21.05,10,10,35,35,17,17,,0,0,0,0,,,,,,,,
2021-07-12,34.6,24.88,23.55,12.5,34,,71,36.5,43,15,9.7,7.3,7,4.4,28,11.96,14,0,39,34,101.68,101.43,101.42,101.15,96.69,96.45,96.44,96.19,16100,15764.6,12075,8050,,,,,0,5.5,18.6,16.6,13.6,0,,,,05:03:00,21:04:00,16.02,5.05,21.07,9,9,34,35,16,17,,0,0,0,0,,,,,,,,
2021-07-11,33.5,26.04,23.7,13.9,33,,57,31.7,38,19,10.2,7.3,7.2,4.1,26,9.29,13,0,37,33,101.68,101.46,101.46,101.24,96.72,96.5,96.5,96.28,16100,15966.7,15300,14500,,,,,0,5.7,18.7,16.7,13.7,0,,,,05:02:00,21:05:00,16.05,5.03,21.08,8,10,34,34,16,16,,0,0,0,0,,,,,,,,
2021-07-10,34.8,26.42,24,13.2,33,,73,34.8,43.5,14,12.5,7.1,7,1.6,26,11.5,13,0,42,22,101.66,101.45,101.44,101.21,96.69,96.48,96.48,96.27,16100,15900,13700,11300,,,,,0,6,19,17,14,0,,,,05:01:00,21:06:00,16.08,5.02,21.1,9,9,34,34,16,16,,0,0,0,0,,,,,,,,
2021-07-09,33.8,24.41,23.5,13.2,33,,75,47.7,46,17,14.2,11.1,9.8,5.5,21,4.62,10.5,0,,,101.83,101.58,101.58,101.32,96.81,96.58,96.58,96.36,16100,15766.7,13700,11300,,,,,0,5.5,18.5,16.5,13.5,0,,,,05:00:00,21:06:00,16.1,5,21.1,9,9,33,33,16,16,,4,0.3,2,0,,,,,,,,
2021-07-08,30.6,21.74,21.35,12.1,33,,93,57.1,61.5,30,13.7,11.8,12.1,10.5,24,6.95,12,0,30,17,101.43,101.24,101.21,100.99,96.44,96.22,96.22,96,16100,16100,16100,16100,,,,,0,3.4,16.4,14.3,11.3,,,,,04:59:00,21:07:00,16.13,4.98,21.12,9,9,31,31,13,15,,4,1.2,2,0,,,,,,,,
2021-07-07,28,21.14,21.55,15.1,29,,88,55,60,32,14.8,11.2,11.5,8.2,39,8.62,19.5,0,52,25,101.36,101.04,101.08,100.81,96.32,96.07,96.1,95.87,16100,16100,16100,16100,,,,,0,3.5,16.6,14.6,11.6,0.2,,,,04:58:00,21:08:00,16.17,4.97,21.13,4,8,29,30,15,15,,4,0.8,2,0,,,,,,,,
